#-----------------------------------------------------------
# xsim v2018.3 (64-bit)
# SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
# IP Build 2404404 on Fri Dec  7 01:43:56 MST 2018
# Start of session at: Thu Apr 30 18:15:56 2026
# Process ID: 26648
# Current directory: D:/System/desktop/kldj_sourceset/pipilined5
# Command line: xsim.exe -mode tcl -source {xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl}
# Log file: D:/System/desktop/kldj_sourceset/pipilined5/xsim.log
# Journal file: D:/System/desktop/kldj_sourceset/pipilined5\xsim.jou
#-----------------------------------------------------------
source xsim.dir/rv32i_supported_instr_tb_sim/xsim_script.tcl
# xsim {rv32i_supported_instr_tb_sim} -autoloadwcfg -runall
Vivado Simulator 2018.3
Time resolution is 1 ps
run -all
[FAIL] step=52 pc=0x800000d0 inst=0x3e308093 x1 expected=0x59e4c3e3 got=0x59e4c000
[FAIL] step=53 pc=0x800000d4 inst=0x0000a193 x3 expected=0x00000000 got=0xcb3bde06
[FAIL] step=54 pc=0x800000d8 inst=0xbd4560b7 x1 expected=0xbd456000 got=0x59e4c3e3
[FAIL] step=55 pc=0x800000dc inst=0xf5208093 x1 expected=0xbd455f52 got=0xbd456000
[FAIL] step=56 pc=0x800000e0 inst=0xfff0b193 x3 expected=0x00000001 got=0x00000000
[FAIL] step=57 pc=0x800000e4 inst=0xba5770b7 x1 expected=0xba577000 got=0xbd455f52
[FAIL] step=58 pc=0x800000e8 inst=0x90c08093 x1 expected=0xba57690c got=0xba577000
[FAIL] step=59 pc=0x800000ec inst=0x8000c193 x3 expected=0x45a8910c got=0x00000001
[FAIL] step=60 pc=0x800000f0 inst=0xb631f0b7 x1 expected=0xb631f000 got=0xba57690c
[FAIL] step=61 pc=0x800000f4 inst=0x53c08093 x1 expected=0xb631f53c got=0xb631f000
[FAIL] step=62 pc=0x800000f8 inst=0x22b0e193 x3 expected=0xb631f73f got=0x45a8910c
[FAIL] step=63 pc=0x800000fc inst=0x341e80b7 x1 expected=0x341e8000 got=0xb631f53c
[FAIL] step=64 pc=0x80000100 inst=0x58708093 x1 expected=0x341e8587 got=0x341e8000
[FAIL] step=65 pc=0x80000104 inst=0x0000f193 x3 expected=0x00000000 got=0xb631f73f
[FAIL] step=66 pc=0x80000108 inst=0x382370b7 x1 expected=0x38237000 got=0x341e8587
[FAIL] step=67 pc=0x8000010c inst=0x33a08093 x1 expected=0x3823733a got=0x38237000
[FAIL] step=68 pc=0x80000110 inst=0x7ff08193 x3 expected=0x38237b39 got=0x00000000
[FAIL] step=69 pc=0x80000114 inst=0xc87540b7 x1 expected=0xc8754000 got=0x3823733a
[FAIL] step=70 pc=0x80000118 inst=0x32508093 x1 expected=0xc8754325 got=0xc8754000
[FAIL] step=71 pc=0x8000011c inst=0x0010a193 x3 expected=0x00000001 got=0x38237b39
[FAIL] step=72 pc=0x80000120 inst=0x1937c0b7 x1 expected=0x1937c000 got=0xc8754325
[FAIL] step=73 pc=0x80000124 inst=0x6c608093 x1 expected=0x1937c6c6 got=0x1937c000
[FAIL] step=74 pc=0x80000128 inst=0x7ff0b193 x3 expected=0x00000000 got=0x00000001
[FAIL] step=75 pc=0x8000012c inst=0x184da0b7 x1 expected=0x184da000 got=0x1937c6c6
[FAIL] step=76 pc=0x80000130 inst=0x4d008093 x1 expected=0x184da4d0 got=0x184da000
[FAIL] step=77 pc=0x80000134 inst=0x3ff0c193 x3 expected=0x184da72f got=0x00000000
[FAIL] step=78 pc=0x80000138 inst=0xd54770b7 x1 expected=0xd5477000 got=0x184da4d0
[FAIL] step=79 pc=0x8000013c inst=0x10908093 x1 expected=0xd5477109 got=0xd5477000
[FAIL] step=80 pc=0x80000140 inst=0x70c0e193 x3 expected=0xd547770d got=0x184da72f
[FAIL] step=81 pc=0x80000144 inst=0x4e5de0b7 x1 expected=0x4e5de000 got=0xd5477109
[FAIL] step=82 pc=0x80000148 inst=0x42d08093 x1 expected=0x4e5de42d got=0x4e5de000
[FAIL] step=83 pc=0x8000014c inst=0x0010f193 x3 expected=0x00000001 got=0xd547770d
[FAIL] step=84 pc=0x80000150 inst=0xfe2f60b7 x1 expected=0xfe2f6000 got=0x4e5de42d
